gene_id	gene_label	case_mean	control_mean	log2_fold_change	p_value	adjusted_p_value	neg_log10_adjusted_p	classification
55872	PBK [55872]	226.333333	503.333333	-1.149568	3.799755e-209	1.496191e-204	203.825013	Downregulated
6648	SOD2 [6648]	29069.333333	4020.666667	2.853682	1.412817e-158	2.781554e-154	153.555712	Upregulated
7130	TNFAIP6 [7130]	260.666667	74.333333	1.796370	1.549055e-147	2.033186e-143	142.691823	Upregulated
718	C3 [718]	6634.333333	1760.333333	1.913501	3.669018e-136	3.611781e-132	131.442279	Upregulated
2582	GALE [2582]	127.333333	215.666667	-0.755581	3.372618e-127	2.656004e-123	122.575771	Not significant
629	CFB [629]	744.666667	143.000000	2.372462	1.963771e-122	1.288757e-118	117.889829	Upregulated
1829	DSG2 [1829]	51.000000	89.333333	-0.796747	4.661274e-117	2.622033e-113	112.581362	Not significant
51512	GTSE1 [51512]	258.333333	549.333333	-1.085498	7.689015e-115	3.784533e-111	110.421988	Downregulated
84665	MYPN [84665]	76.666667	255.000000	-1.720776	1.335554e-111	5.843199e-108	107.233349	Downregulated
124935	SLC43A2 [124935]	933.000000	370.666667	1.329413	3.110002e-110	1.224594e-106	105.912008	Upregulated
55143	CDCA8 [55143]	186.666667	401.333333	-1.100219	6.916686e-107	2.475922e-103	102.606263	Downregulated
11004	KIF2C [11004]	251.666667	514.666667	-1.029203	1.496198e-106	4.909524e-103	102.308961	Downregulated
26030	PLEKHG3 [26030]	56.000000	77.666667	-0.464791	6.971007e-94	2.111464e-90	89.675416	Not significant
10584	COLEC10 [10584]	23.000000	58.666667	-1.313891	6.384455e-91	1.795674e-87	86.745773	Downregulated
79801	SHCBP1 [79801]	361.333333	751.000000	-1.053415	1.684824e-90	4.422776e-87	86.354305	Downregulated
1058	CENPA [1058]	59.333333	154.333333	-1.364340	2.556372e-90	6.291232e-87	86.201264	Downregulated
1407	CRY1 [1407]	340.000000	465.666667	-0.452621	8.299472e-90	1.922353e-86	85.716167	Not significant
55355	HJURP [55355]	212.333333	474.666667	-1.156842	6.731924e-88	1.472646e-84	83.831902	Downregulated
55771	PRR11 [55771]	558.333333	1005.333333	-0.847328	3.002125e-80	6.221667e-77	76.206093	Not significant
57405	SPC25 [57405]	53.666667	131.000000	-1.271805	1.545199e-76	3.042187e-73	72.516814	Downregulated
83540	NUF2 [83540]	121.333333	327.666667	-1.425808	1.011848e-75	1.897264e-72	71.721872	Downregulated
55388	MCM10 [55388]	100.666667	232.000000	-1.196483	1.001581e-71	1.792647e-68	67.746505	Downregulated
3383	ICAM1 [3383]	520.000000	161.666667	1.679365	3.028390e-71	5.184604e-68	67.285284	Upregulated
374393	FAM111B [374393]	93.000000	214.666667	-1.198071	5.767143e-68	9.461959e-65	64.024019	Downregulated
9055	PRC1 [9055]	717.666667	1475.666667	-1.038950	5.254240e-64	8.275638e-61	60.082199	Downregulated
105376292	LOC105376292 [105376292]	43.333333	92.000000	-1.068839	1.240317e-60	1.878412e-57	56.726209	Downregulated
9052	GPRC5A [9052]	228.666667	895.666667	-1.965030	2.406168e-58	3.509085e-55	54.454806	Downregulated
200894	ARL13B [200894]	291.000000	358.000000	-0.298015	2.862106e-58	4.024939e-55	54.395241	Not significant
9156	EXO1 [9156]	86.666667	188.666667	-1.113366	3.357041e-58	4.558167e-55	54.341210	Downregulated
3161	HMMR [3161]	285.000000	722.333333	-1.338645	4.514993e-58	5.926079e-55	54.227233	Downregulated
699	BUB1 [699]	381.666667	864.333333	-1.177168	1.824010e-57	2.316846e-54	53.635103	Downregulated
4016	LOXL1 [4016]	3445.666667	2225.000000	0.630748	2.224959e-56	2.737812e-53	52.562596	Not significant
701	BUB1B [701]	292.333333	684.666667	-1.224966	4.955808e-56	5.913330e-53	52.228168	Downregulated
29127	RACGAP1 [29127]	566.333333	1131.333333	-0.997030	5.704590e-54	6.606587e-51	50.180023	Not significant
983	CDK1 [983]	258.333333	636.333333	-1.297240	7.013931e-54	7.890873e-51	50.102875	Downregulated
5888	RAD51 [5888]	82.666667	173.333333	-1.059124	3.550171e-53	3.883098e-50	49.410822	Downregulated
79172	CENPO [79172]	538.000000	728.333333	-0.436293	6.032762e-53	6.420163e-50	49.192454	Not significant
2313	FLI1 [2313]	294.000000	422.333333	-0.521079	1.542445e-52	1.598298e-49	48.796342	Not significant
195828	ZNF367 [195828]	61.666667	164.000000	-1.396696	1.111303e-51	1.122017e-48	47.950000	Downregulated
5424	POLD1 [5424]	300.666667	424.333333	-0.495639	1.924649e-50	1.894624e-47	46.722477	Not significant
5864	RAB3A [5864]	50.666667	74.000000	-0.537657	2.298858e-50	2.207801e-47	46.656040	Not significant
3589	IL11 [3589]	133.333333	490.333333	-1.870885	5.684426e-50	5.329285e-47	46.273331	Downregulated
84818	IL17RC [84818]	861.000000	630.666667	0.448524	8.876496e-50	8.128394e-47	46.089995	Not significant
220134	SKA1 [220134]	104.666667	216.333333	-1.040389	4.864102e-49	4.352929e-46	45.361218	Downregulated
55165	CEP55 [55165]	407.666667	1008.333333	-1.304406	1.273931e-48	1.114718e-45	44.952835	Downregulated
990	CDC6 [990]	209.000000	457.000000	-1.124958	8.868931e-48	7.591805e-45	44.119655	Downregulated
11144	DMC1 [11144]	22.333333	60.333333	-1.394279	1.668475e-47	1.397827e-44	43.854547	Downregulated
176	ACAN [176]	151.666667	517.666667	-1.764423	3.121965e-47	2.561052e-44	43.591582	Downregulated
55319	TMA16 [55319]	314.000000	486.000000	-0.628570	3.459677e-45	2.780168e-42	41.555929	Not significant
891	CCNB1 [891]	569.666667	1302.666667	-1.191855	7.461877e-44	5.876377e-41	40.230890	Downregulated
55635	DEPDC1 [55635]	277.000000	655.666667	-1.240076	7.846387e-44	6.058026e-41	40.217669	Downregulated
8045	RASSF7 [8045]	33.333333	55.000000	-0.705817	1.137273e-43	8.611781e-41	40.064907	Not significant
3569	IL6 [3569]	232.000000	84.333333	1.449149	1.387738e-43	1.031011e-40	39.986737	Upregulated
54443	ANLN [54443]	1014.666667	2187.333333	-1.107406	3.819900e-43	2.785415e-40	39.555110	Downregulated
83475	DOHH [83475]	97.666667	135.333333	-0.466504	9.706265e-43	6.948979e-40	39.158079	Not significant
22974	TPX2 [22974]	874.000000	1915.666667	-1.131245	2.295047e-41	1.613746e-38	37.792165	Downregulated
9023	CH25H [9023]	209.000000	89.666667	1.211745	4.832743e-41	3.338493e-38	37.476450	Upregulated
112268089	GAPDH-DT [112268089]	215.666667	288.333333	-0.417255	9.498202e-41	6.448297e-38	37.190555	Not significant
64116	SLC39A8 [64116]	940.333333	221.333333	2.081981	1.872805e-40	1.249891e-37	36.903128	Upregulated
10460	TACC3 [10460]	508.666667	964.333333	-0.921473	1.226851e-39	8.051411e-37	36.094128	Not significant
55789	DEPDC1B [55789]	53.333333	128.666667	-1.254898	2.048139e-39	1.322090e-36	35.878739	Downregulated
541472	IL6-AS1 [541472]	26.333333	9.000000	1.450661	1.223433e-38	7.646650e-36	35.116529	Upregulated
107985021	LOC107985021 [107985021]	4.000000	12.666667	-1.450661	1.223433e-38	7.646650e-36	35.116529	Downregulated
6240	RRM1 [6240]	1115.333333	1893.333333	-0.762922	1.586548e-37	9.761234e-35	34.010495	Not significant
129293	TRABD2A [129293]	84.000000	194.666667	-1.202863	2.435494e-37	1.475385e-34	33.831095	Downregulated
25821	MTO1 [25821]	491.333333	598.666667	-0.284525	3.194274e-37	1.905724e-34	33.719940	Not significant
80760	ITIH5 [80760]	8.666667	2.666667	1.398549	4.137032e-37	2.431340e-34	33.614154	Upregulated
9493	KIF23 [9493]	410.666667	930.666667	-1.178337	1.864839e-36	1.079852e-33	32.966636	Downregulated
9212	AURKB [9212]	146.333333	282.333333	-0.943416	2.748720e-36	1.568603e-33	32.804487	Not significant
216	ALDH1A1 [216]	716.333333	1484.000000	-1.049747	5.939300e-35	3.340941e-32	31.476131	Downregulated
