Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
R0010W	FLP1	2-micron	+	252	1523	0.113208	132.893829	128.593902
STRG.1	-	2-micron	+	252	1523	0.113208	132.893829	128.593902
R0020C	REP1	2-micron	-	1887	3008	0.450980	529.401269	512.271906
STRG.2	-	2-micron	-	1887	3008	0.450980	529.401269	512.271906
R0030W	RAF1	2-micron	+	3271	3816	0.065934	77.399315	74.894975
STRG.3	-	2-micron	+	3271	3816	0.065934	77.399315	74.894975
R0040C	REP2	2-micron	-	5308	6198	0.808081	948.598844	917.905881
STRG.4	-	2-micron	-	5308	6198	0.808081	948.598844	917.905881
YAL061W	BDH2	I	+	33449	34702	0.086124	101.100170	97.828963
STRG.5	-	I	+	33449	34702	0.086124	101.100170	97.828963
YAL059C-A	YAL059C-A	I	-	36497	36919	0.170213	199.811473	193.346352
YAL059W	ECM1	I	+	36510	37148	0.112676	132.269319	127.989599
STRG.6	-	I	-	36497	36919	0.170213	199.811473	193.346352
STRG.7	-	I	+	36510	37148	0.112676	132.269319	127.989599
YAL060W	BDH1	I	+	35156	36304	0.125326	147.119037	142.358838
STRG.8	-	I	+	35156	36304	0.125326	147.119037	142.358838
YAL058W	CNE1	I	+	37465	38973	0.023857	28.005513	27.099363
YAL056C-A	YAL056C-A	I	-	38697	39047	0.000000	0.000000	0.000000
STRG.9	-	I	+	37465	38973	0.023857	28.005513	27.099363
YAL053W	FLC2	I	+	45900	48251	0.061224	71.870290	69.544847
STRG.10	-	I	+	45900	48251	0.061224	71.870290	69.544847
YAL049C	YAL049C	I	-	51856	52596	0.014845	17.426409	16.862558
STRG.11	-	I	-	51856	52596	0.014845	17.426409	16.862558
YAL051W	OAF1	I	+	48565	51708	0.011450	13.441050	13.006150
STRG.12	-	I	+	48565	51708	0.011450	13.441050	13.006150
YAL047C	SPC72	I	-	54990	56858	0.038523	45.221795	43.758594
STRG.13	-	I	-	54990	56858	0.038523	45.221795	43.758594
YAL045C	YAL045C	I	-	57489	57797	0.220065	258.332277	249.973651
YAL044W-A	YAL044W-A	I	+	57519	57851	0.000000	0.000000	0.000000
STRG.14	-	I	-	57489	57797	0.220065	258.332277	249.973651
YAL044C	GCV3	I	-	57951	58463	0.126706	148.739007	143.926392
STRG.15	-	I	-	57951	58463	0.126706	148.739007	143.926392
YAL043C	PTA1	I	-	58696	61053	0.045802	53.766546	52.026870
STRG.16	-	I	-	58696	61053	0.045802	53.766546	52.026870
YAL042C-A	YAL042C-A	I	-	61232	61609	0.285714	335.397033	324.544892
YAL042W	ERV46	I	+	61317	62564	0.173077	203.173496	196.599594
STRG.17	-	I	-	61232	61609	0.285714	335.397033	324.544892
STRG.18	-	I	+	61317	62564	0.173077	203.173496	196.599594
YAL041W	CDC24	I	+	62841	65405	0.042105	49.426672	47.827417
STRG.19	-	I	+	62841	65405	0.042105	49.426672	47.827417
YAL040C	CLN3	I	-	65779	67521	0.103270	121.227702	117.305246
STRG.20	-	I	-	65779	67521	0.103270	121.227702	117.305246
YAL039C	CYC3	I	-	68717	69526	0.064198	75.361441	72.923038
STRG.21	-	I	-	68717	69526	0.064198	75.361441	72.923038
YAL036C	RBG1	I	-	75044	76153	0.213514	250.642118	242.532316
STRG.22	-	I	-	75044	76153	0.213514	250.642118	242.532316
YAL038W	CDC19	I	+	71787	73289	2.354624	2764.071429	2674.636846
YAL037C-B	YAL037C-B	I	-	72327	73301	2.436923	2860.681467	2768.120959
STRG.23	-	I	+	71787	73289	2.354624	2764.071429	2674.636846
STRG.24	-	I	-	72327	73301	2.436923	2860.681467	2768.120959
YAL034C-B	YAL034C-B	I	-	79490	79843	0.000000	0.000000	0.000000
YAL034W-A	MTW1	I	+	79719	80588	0.041379	48.574427	47.002748
STRG.25	-	I	+	79719	80588	0.041379	48.574427	47.002748
YAL033W	POP5	I	+	82707	83228	0.172414	202.395207	195.846486
STRG.26	-	I	+	82707	83228	0.172414	202.395207	195.846486
YAL035W	FUN12	I	+	76428	79436	0.239614	281.280668	272.179521
STRG.27	-	I	+	76428	79436	0.239614	281.280668	272.179521
YAL031W-A	YAL031W-A	I	+	84670	84978	0.000000	0.000000	0.000000
YAL031C	GIP4	I	-	84750	87032	0.031537	37.020994	35.823139
STRG.28	-	I	-	84750	87032	0.031537	37.020994	35.823139
YAL030W	SNC1	I	+	87287	87753	0.203390	238.757648	231.032381
YAL028W	FRT2	I	+	92901	94487	0.022684	26.628539	25.766943
STRG.29	-	I	+	92901	94487	0.022684	26.628539	25.766943
